NAME,TYPE,Sector,ADDRESS_AB,CITY,PROVINCE,POSTAL_COD,longitude,latitude
Kenneth D. Taylor,Public School,NW,30 Evanscove Circle NW,Calgary,AB,T3P0A1,-114.1178014,51.16509597
Greek Community,Private School,SW,1 Tamarac Crescent SW,Calgary,AB,T3C3B7,-114.1374937,51.04817391
G.W. Skene,Public School,SE,6226 Penbrooke Drive SE,Calgary,AB,T2A6M7,-113.9452208,51.04562487
Prince Of Wales,Public School,SE,253 Parkland Way SE,Calgary,AB,T2J3Y9,-114.033308,50.92476418
Notre Dame High,Separate School,NE,11900 Country Village Link NE,Calgary,AB,T3K6E4,-114.065834,51.15765941
Rundle College Senior High,Private School,SW,7375 - 17 Avenue SW,Calgary,AB,T3H3W5,-114.1939221,51.03689411
Abbeydale,Public School,NE,320 Abergale Drive NE,Calgary,AB,T2A6W2,-113.9298486,51.0566252
St. Marguerite,Separate School,SE,1100 New Brighton Drive SE,Calgary,AB,T2Z0W1,-113.9372308,50.92115491
Nose Creek,Public School,NE,135 Covepark Square NE,Calgary,AB,T3K5W9,-114.0606997,51.16714956
SAIT Polytechnic,Post Secondary,,,Calgary,AB,,-114.0892724,51.0645151
Ecole de la Rose Sauvage,Francophone,NW,2512 - 4 Street NW,Calgary,AB,,-114.0703034,51.07484465
Janus Academy (Holy Cross Site),Private School,SE,8516 Athabasca Street SE,Calgary,AB,T2H1S1,-114.0562929,50.9774377
Sacred Heart,Separate School,SW,1312 15 St SW,Calgary,AB,T3C0T6,-114.0966365,51.04092048
St. Cecilia,Separate School,SE,610 Agate Cres SE,Calgary,AB,T2J0Z3,-114.0504111,50.96529608
St. Anthony,Separate School,SW,4811 6 St SW,Calgary,AB,T2S2N5,-114.0792951,51.01010775
"Hamptons, The",Public School,NW,10330 Hamptons Boulevard NW,Calgary,AB,T3A6G2,-114.148507,51.14344573
Master's College,Public School,SW,4414 Crowchild Trail SW,Calgary,AB,T2T5J4,-114.1165476,51.01531296
Captain John Palliser,Public School,NW,1484 Northmount Drive NW,Calgary,AB,T2L0G6,-114.1360161,51.09636485
University of Calgary,Post Secondary,,,Calgary,AB,,-114.1301255,51.07540667
Palliser Beyond Borders at Calgary,Public School,ue,Suite 120 2635 - 37 Avenue,Calgary,AB,T1Y5Z6,-113.9990423,51.08611443
Bow Valley College,Post Secondary,,,Calgary,AB,T2G4S6,-114.0561994,51.04769511
William Reid,Public School,SW,1216 36 Avenue SW,Calgary,AB,T2T2E9,-114.0903428,51.0221745
Haysboro,Public School,SW,1123 87 Avenue SW,Calgary,AB,T2V0W2,-114.0891358,50.97549518
Coventry Hills,Public School,NE,12350 Coventry Hills Way NE,Calgary,AB,T3K5S9,-114.0514137,51.1651804
Columbia College,Private School,NE,802 Manning Road NE,Calgary,AB,T2E7N8,-114.018022,51.05700183
St. Angela,Separate School,NE,231 6 St NE,Calgary,AB,T2E3Y1,-114.0488198,51.05442193
Chinook Park,Public School,SW,1312 75 Avenue SW,Calgary,AB,T2V0S6,-114.0893703,50.98644777
Keeler,Public School,SE,4807 Forego Avenue SE,Calgary,AB,T2A2C4,-113.9648131,51.04925682
Blessed Marie-Rose,Separate School,NW,999 Sherwood Blvd NW,Calgary,AB,T3R1M9,-114.1483237,51.15988954
Ascension of Our Lord,Separate School,NE,509 Harvest Hills Dr NE,Calgary,AB,T3K4G9,-114.0596905,51.14695796
St. Andrew,Separate School,SW,4331 41 Ave SW,Calgary,AB,T3E1G2,-114.1477242,51.01636282
St. Michael,Separate School,SW,4511 8 Ave SW,Calgary,AB,T3C0G9,-114.1515775,51.04478491
Glenmeadows,Public School,SW,4931 Grove Hill Road SW,Calgary,AB,T3E4G4,-114.1589291,51.0348618
St. Rupert,Separate School,NE,111 Rundlehill Dr NE,Calgary,AB,T1Y2W9,-113.9705283,51.07689762
Colonel Sanders (TLC),Public School,NW,226 Northmount Drive NW,Calgary,AB,T2K3G5,-114.0747704,51.09981373
Harold Panabaker,Public School,SW,23 Sackville Drive SW,Calgary,AB,T2W0W3,-114.0866482,50.95763959
Capitol Hill,Public School,NW,2210 18 Street NW,Calgary,AB,T2M3T4,-114.1039175,51.07207663
James Fowler High,Public School,NW,4004 4 Street NW,Calgary,AB,T2K1A1,-114.0705163,51.08653215
Alex Munro,Public School,NE,427  78 Avenue NE,Calgary,AB,T2K0R9,-114.0613952,51.12064736
Westmount Elementary,Charter,NW,728 - 32 Street NW,Calgary,AB,T2N2V9,-114.1314284,51.05814762
St. Thomas More,Separate School,NE,6110 Temple Dr NE,Calgary,AB,T1Y5V4,-113.945556,51.08535322
McKenzie Lake,Public School,SE,16210 McKenzie Lake Way SE,Calgary,AB,T2Z1L7,-113.9849974,50.90621794
Sainte Marguerite Bourgeoys,Francophone,SW,4700 Richard Road SW,Calgary,AB,T3E6L1,-114.1215832,51.01113758
Sir James Lougheed,Public School,SW,3519 36 Avenue SW,Calgary,AB,T3E1C2,-114.1362258,51.02117978
